index;country;jumlah_tahun;sdg_index_score;no_poverty_score;zero_hunger_score;good_health_and_wellbeing_score;quality_education_score;gender_equality_score;clean_water_and_sanitation_score;affordable_and_clean_energy_score;decent_work_and_economic_growth_score;industry_innovation_and_infrastructure_score;reduces_inequalities_score;sustainable_cities_and_communities_score;responsible_consumption_and_production_score;climate_action_score;life_below_water_score;life_on_land_score;peace_justice_and_strong_institutions_score;partnership_for_the_goals_score;Cluster
74;Italy;23;75,62608696;97,72173913;70,35217391;90,93478261;97,94782609;62,16956522;80,23913043;73,66086957;76,34782609;74,65217391;78,69565217;74,96956522;69,16086957;74,98695652;57,79565217;76,79130435;68,20869565;60,77391304;2
75;Jamaica;23;67,75652174;90,83478261;58,98695652;75,85652174;86,69565217;70,1826087;69,83913043;62,53478261;75,2173913;37,10869565;24,74782609;86,61304348;82,60869565;89,97826087;59,33043478;56,26521739;61,8173913;63,30869565;1
76;Japan;23;77,33478261;99,50869565;73,7;92,23043478;95,0826087;56,76086957;84,56086957;71,17826087;86,78695652;89,69130435;79,46956522;86,49565217;60,33478261;70,26521739;54,63478261;60,64347826;86,66956522;66,68695652;2
77;Jordan;23;67,62173913;98,63478261;56,27826087;74,19565217;56,1;37,53478261;56,56521739;68,99565217;63,94347826;36,18695652;74,15652174;74,19565217;87,4826087;90,01304348;89,11304348;54,08695652;69,95652174;61,96956522;1
78;Kazakhstan;23;69,02173913;97,91304348;50,96956522;69,80869565;96,40434783;73,33478261;71,9826087;60,50869565;70;33,6826087;89,35652174;83,40869565;79,23478261;55,36956522;0;61,73913043;56,60434783;54,46086957;4
79;Kenya;23;55,47826087;40,10869565;54,33043478;38,97826087;69,64782609;57,22173913;46,04782609;29,16956522;73,3;19,14347826;32,34782609;56,07391304;94,31304348;98,65652174;67,96086957;60,06521739;50,9826087;54,80434783;3
80;Korea, Republic of;23;75,45217391;99,13913043;82,1826087;87,81304348;96,83913043;59,84347826;73,83913043;69,96086957;86,28695652;90,43913043;72,66086957;83,42608696;70,95652174;70,64782609;53,06521739;54,49565217;74,79130435;56,23478261;2
81;Kuwait;23;61,68695652;0;65,75652174;82,63043478;88,56086957;50,98695652;55;67,96956522;78,06956522;50,96956522;0;71,28695652;57,33043478;31,87391304;42,75652174;51,39565217;77,11304348;51,99130435;5
82;Kyrgyz Republic;23;70,75217391;84,66956522;58,43913043;67,39130435;82,83913043;62,21304348;63,43478261;76,22608696;66,52608696;18,64347826;89,43043478;76,47391304;92,17391304;94,80869565;0;70,9826087;55,4;72,77826087;4
83;Lao People's Democratic Republic;23;57,58695652;51,96521739;57,5826087;42,74347826;51,33043478;59,10434783;58,96521739;50,43478261;71,7826087;16,10434783;70,36086957;67,71304348;94,01304348;96,17826087;0;45,29130435;47,33043478;40,64782609;0
84;Latvia;23;77,10869565;100;63,14347826;77;98,02173913;71,84347826;88,56521739;85,94782609;81,00434783;49,76521739;70,66521739;89,59130435;64,96956522;76,07826087;77,35217391;94,96086957;75,94347826;45,91304348;2
85;Lebanon;23;65,30434783;99,0826087;53,44347826;75,63043478;98,46086957;39,97826087;65,15652174;59,87826087;59,13043478;44,99565217;84,4;58,14347826;81,30434783;85,3;61,6;57,56956522;55,25652174;30,86521739;2
86;Lesotho;23;50,59565217;27,40869565;51,7826087;20,76086957;46,95217391;68,9826087;43,34782609;17,23913043;41,86086957;16,1826087;19,07391304;57,73043478;98,90434783;97,29130435;0;74,26521739;49,84782609;77,36086957;0
87;Liberia;23;47,09565217;25,34782609;45,59130435;25,73043478;36,72608696;33,6;50,71304348;13,7173913;62,9826087;8,482608696;69,66521739;30,2173913;95,9;98,80869565;77,99565217;49,21304348;41,5173913;34,1173913;3
88;Lithuania;23;73,43478261;100;58,69565217;79,03478261;98,74782609;69,03478261;76,29565217;73,65652174;75,74782609;51,27391304;71,11304348;84,96521739;55,3826087;59,37391304;74,03478261;91,27391304;77,24347826;52,5173913;2
89;Luxembourg;23;74,93913043;99,95217391;59,02173913;92,95217391;96,1;68,70869565;81,62608696;56,10434783;85,4173913;80,7826087;86,37391304;96,7173913;36,21304348;37,66521739;0;65,34347826;89,86956522;66,55652174;4
90;Madagascar;23;47,47391304;3,504347826;49,68695652;32,75652174;40,56956522;57,53043478;41,9;35,0826087;64,06086957;8,417391304;39,08695652;46,05217391;96,50869565;99,41304348;65,36521739;47,28695652;41,42173913;38,39565217;3
91;Malawi;23;51,96956522;1,782608696;57,11304348;33,76956522;49,88695652;55,56956522;49,52608696;41,65652174;63,37391304;16,71304348;43,4173913;57,78695652;98,01304348;99,47826087;0;61,35652174;53,89130435;47,71304348;0
92;Malaysia;23;65,66956522;97,46956522;46,1826087;77,57826087;88,42608696;50,11304348;76,03913043;67,13043478;75,13043478;52,63043478;35,26956522;84,33913043;72,75217391;78,76521739;66,86956522;35,23043478;54,79130435;57,66521739;1
93;Maldives;23;66,09565217;93,30869565;38,70869565;79,56521739;93,46956522;38,53913043;69,86956522;57,39565217;69,73478261;32,04782609;63,46956522;75,7826087;75,83478261;92,96086957;60,26956522;55,7;68,51304348;58,26956522;1
94;Mali;23;52,11304348;32,13478261;55,44347826;32,13913043;12,00434783;42,8826087;53,54347826;27,27826087;72,43043478;12,78695652;68,02608696;45,74347826;94,8;99,10434783;0;80,3;60,23913043;44,70869565;0
95;Malta;23;72,0826087;99,86956522;65,74782609;88,42173913;97,73478261;52,8;49,75652174;70,59130435;84,93043478;57,43478261;92,87391304;84,89130435;52,43478261;72,53043478;55,46086957;81,66956522;68,75217391;49,47826087;2
96;Mauritania;23;50,74782609;68,34782609;38,20869565;45,37826087;28,64347826;31,59130435;50,4826087;29,72173913;50,30869565;11,78695652;69,35652174;37,60869565;90,75652174;97,2;62,16521739;51,26521739;52,82608696;46,93043478;3
97;Mauritius;23;66,66956522;97,39565217;68,53478261;74,23478261;89,66086957;45,80434783;70,13478261;71,98695652;72,65217391;32,69130435;66,30434783;86,84347826;76,4173913;92,5;52,41304348;26,45652174;65,0826087;44,29130435;1
98;Mexico;23;65,93913043;85,67391304;60,82173913;78,23478261;94,26956522;67,11304348;70,90869565;66,66956522;68,70434783;37,22173913;23,30869565;78,1;80,04347826;84,18695652;61,1826087;54,33478261;53,99565217;56,20434783;1
99;Moldova;23;73,91304348;96,63043478;54,9173913;71,02173913;99,57391304;67,96086957;68,50434783;74,33043478;67,51304348;28,3173913;85,4173913;79,57391304;80,30869565;92,05652174;0;83,47826087;59,55652174;73,79565217;4
100;Mongolia;23;62,40869565;91,02173913;41,29130435;58,75652174;93,42173913;66,09565217;59,3;36,19130435;70,4;20,46956522;79,51304348;48,56521739;66,93043478;63,93913043;0;72,95217391;60,3826087;69,42173913;4
101;Montenegro;23;67,47826087;98,6;51,4173913;75,46956522;82,07826087;51,9826087;62,4826087;82,18695652;54,25652174;42,79565217;53,82608696;74,62608696;71,54347826;91,58695652;46,76521739;54,42608696;74,86956522;78,43478261;1
102;Morocco;23;65,13913043;86,05652174;59,36956522;65,54347826;61,25217391;36,60869565;56,17826087;65,01304348;70,35652174;36,15217391;51,3;70,33478261;91,17826087;94,83913043;68,28695652;70,59565217;62,49565217;61,71304348;1
103;Mozambique;23;48,70869565;0,860869565;53,50434783;25,96521739;36,12608696;59,72173913;46,4;32,62173913;66,56956522;10,12608696;19,18695652;54,15652174;97,76956522;98,53478261;60,15652174;65,00434783;48,37826087;53,01304348;3
104;Myanmar;23;55,96956522;47,2;60,59130435;46,23913043;51,95652174;54,99130435;61,64347826;35,20434783;60,93913043;15,57391304;67,02173913;55,73043478;95,53913043;98,22173913;50,45652174;52,80434783;57,82608696;39,47391304;3
105;Namibia;23;59,35217391;48,35652174;47,00434783;38,75652174;71,9;77,17826087;54,17826087;44,66521739;65,9173913;20,80434783;2,643478261;72,12608696;82,84782609;88,36521739;73,10869565;83,50434783;65,19130435;72,40434783;5
106;Nepal;23;58,4;68,45217391;58,28695652;45,53913043;70,39565217;34,65652174;62,56956522;40,36086957;65,59130435;22,26956522;60,11304348;43,50869565;97,10869565;98,73913043;0;68,09130435;53,4;45,6;0
107;Netherlands;23;77,40434783;99,39565217;68,9;93,91304348;96,73478261;80,83913043;86,86956522;68,89565217;85,68695652;85,51304348;91,69565217;90,24347826;47,03043478;39,44347826;56,27826087;76,23043478;85,39130435;62,72173913;2
108;New Zealand;23;75,40869565;0;61,5;90,51304348;94,36521739;81,3826087;89,6;84,58695652;86,8;80,08695652;77,19130435;86,9;43,71304348;62,76086957;55,83478261;51,16086957;89,13913043;70,32173913;2
109;Nicaragua;23;61,19130435;64,92608696;53,00869565;70,22608696;74,7826087;69,80434783;64,82608696;53,85652174;66,3173913;15,66521739;23,07826087;68,66086957;87,13043478;96,9;57,52173913;69,45652174;55,05652174;49,08695652;1
110;Niger;23;43,0826087;6,604347826;42,38695652;29,24347826;2,069565217;32,71304348;41,47391304;8,795652174;67,36086957;9,804347826;58,36086957;38,72608696;95,82608696;99,49565217;0;60,85217391;49,75652174;45,04782609;0
